source,titre,prix,type_annonce,ville,quartier,nb_chambres,nb_sdb,surface_m2,date_publication,date_scraping,url,image_url
mauri-home.com,شقة للأجار قرب طريق نواذيب فاتح عل كدروه,18000 MRU,Location,Nouakchott,Tevragh Zeina,3,2,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1769856472231_1000405328.jpg&w=500&q=85&output=webp
mauri-home.com,NOUVELLE MAISON EN VENTE - ETAGE R+1,18000000 MRU,Location,Nouakchott,Tevragh Zeina,2,1,300 m²,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F688034656e685_main.jpg&w=500&q=85&output=webp
mauri-home.com,STUDIO A LOUER,4500 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F689ca894cdc32_main.jpeg&w=500&q=85&output=webp
mauri-home.com,Appartement à louer à Cité Plage,10000 MRU,Location,Nouakchott,Cité Plage,2,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68f2bd40a59f7_main.png&w=500&q=85&output=webp
mauri-home.com,Appartement à louer à Cité Plage,20000 MRU,Location,Nouakchott,Cité Plage,4,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68f2bc64953a7_main.png&w=500&q=85&output=webp
mauri-home.com,MAGASIN A LOUER,5000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68c415f7e2d2b_main.png&w=500&q=85&output=webp
mauri-home.com,ETAGE EN VENTE,3500000 MRU,Location,Nouakchott,Tevragh Zeina,3,1,300 m²,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68c41023a89ba_main.jpg&w=500&q=85&output=webp
mauri-home.com,VILLA DUPLEX A LOUER,45000 MRU,Location,Nouakchott,Tevragh Zeina,2,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F689a74930ce61_main.jpeg&w=500&q=85&output=webp
mauri-home.com,VILLA DUPLEX MEUBLEE A LOUER,150000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F6875ac595f39b_main.jpeg&w=500&q=85&output=webp
mauri-home.com,VILLA DUPLEX A LOUER,40000 MRU,Location,Nouakchott,Tevragh Zeina,5,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F689a4bebbb96e_main.jpeg&w=500&q=85&output=webp
